,DEPOIS,status
395,032690,ok
396,442409,ok
397,032694,ok
398,031512,ok
399,025241,ok
400,031217,ok
401,025594,ok
402,900011,erro
403,900012,erro
404,016135,ok
405,493296,ok
406,424780,ok
407,481695,ok
408,025678,ok
409,033933,ok
410,033702,ok
411,450145,ok
412,032147,ok
413,032815,ok
414,032818,ok
415,033189,ok
416,033192,ok
417,033204,ok
418,033191,ok
419,431898,ok
420,032045,ok
421,034251,ok
422,032850,ok
423,033897,ok
424,033636,ok
425,033926,ok
426,032540,ok
427,033600,ok
428,033641,ok
429,033637,ok
430,033902,ok
431,016081,ok
432,033751,ok
433,030421,ok
434,033671,ok
435,464806,ok
436,033372,ok
437,034249,ok
438,025659,ok
439,479068,ok
440,034250,ok
441,458880,ok
442,447286,ok
443,448606,ok
444,016111,ok
445,469932,ok
446,900020,erro
447,900021,erro
448,032632,ok
449,033368,ok
450,418894,ok
451,900018,erro
452,420074,ok
453,033879,ok
454,030614,ok
455,025886,ok
456,494501,ok
457,025664,ok
458,032099,ok
459,466566,ok
460,014539,ok
461,464259,ok
462,032669,ok
463,480680,ok
464,446841,ok
465,025556,ok
466,025557,ok
467,900019,erro
468,034072,erro
469,025554,
470,032113,
471,025955,
472,033859,
473,026453,
474,032879,
475,033752,
476,033394,
477,033406,
478,033407,
479,033613,
480,033876,
481,033653,
482,034064,
483,034073,
484,034076,
485,034075,
486,032283,
487,033395,
488,033402,
489,436410,
490,034049,
491,034069,
492,034046,
493,034074,
494,023346,
495,025237,
496,026074,
497,032075,
498,032076,
499,032091,
500,032092,
501,032093,
502,032115,
503,032261,
504,032267,
505,032269,
506,032276,
507,032281,
508,033320,
509,033408,
510,033427,
511,033444,
512,033855,
513,034328,
514,034330,
515,025235,
516,032286,
517,032300,
518,034329,
519,034327,
520,034332,
521,034333,
522,034334,
523,034340,
524,032264,
525,032263,
526,034326 A,
527,034326 B,
528,032331,
529,033301,
530,033135,
531,033321,
532,033322,
533,033323,
534,033223,
535,033315,
536,033324,
537,033326,
538,033328,
539,033329,
540,033424,
541,033491,
542,032926,
543,032279,
544,033136,
545,033298,
546,033303,
547,033312,
548,033425,
549,422400,
550,033297,
551,033927,
552,033931,
553,423075,
554,424675,
555,488069,
556,488811,
557,032074,
558,034331,
559,034341,
560,034342,
561,025681,
562,343014,
563,033648,
564,034337,
565,411218,
566,423191,
567,451540,
568,033610,
569,033806,
570,033369,
571,032288,
572,034071,
573,025662,
574,029666,
575,025551,
576,448552,
577,030808,
578,033551,
579,034160,
580,034151,
581,034153,
582,034152,
583,033404,
584,423154,
585,476110,
586,492073,
587,026076,
588,032329,
589,032670,
590,032552,
591,033670,
592,900034,
593,033635,
594,016159,
595,016093,
596,900036,
597,900037,
598,900035,
599,497101,
600,030380,
601,033960,
602,423348,
603,032259,
604,032274,
605,033689,
606,033302,
607,032282,
608,033925,
609,032305,
610,032301,
611,033401,
612,033196CH,
613,034345,
614,031245CH,
615,459318,
616,033370,
617,033379,
618,032291,
619,032306,
620,032931,
621,033314,
622,033327,
623,033426,
624,033429,
625,033611,
626,033688,
627,033690,
628,033805,
629,417233,
630,027109,
631,027110,
632,034411,
633,027129,
634,027155,
635,027111,
636,027131,
637,029788,
638,029789,
639,025573,
640,032419,
641,032420,
642,025842,
643,034352,
644,034351,
645,034403,
646,034404,
647,032266,
648,033880,
649,479202,
650,025697,
651,032821,
652,425849,
653,025240,
654,031510,
655,033405,
656,465793,
657,424020,
658,033713,
659,033719,
660,032639,
661,032328,
662,034110,
663,034107,
664,034406,
665,034420,
666,034422,
667,034421,
668,034417,
669,034419,
670,033861,
671,032536,
672,034414,
673,033655,
674,034372,
675,034377,
676,030649,
677,034407,
678,034418,
679,034401,
680,034105,
681,034413,
682,900038,
683,900039,
684,900040,
685,900041,
686,900043,
687,900044,
688,900045,
689,900047,
690,900048,
691,025698,
692,025660,
693,034399,
694,032371,
695,900049,
696,900046,
697,034446,
698,034447,
699,025687,
700,900051,
701,900052,
702,033711,
703,033712,
704,425941,
705,043059,
706,034395,
707,034398,
708,025555,
709,034443,
710,034444,
711,034383,
712,025739,
713,480009,
714,031867,
715,034445,
716,034455,
717,034454,
718,410214,
719,030694,
720,026025,
721,026038,
722,026030,
723,033540,
724,033528,
725,029686,
726,029688,
727,020020,
728,409935,
729,026032,
730,034473,
731,034472,
732,034471,
733,034470,
734,418778,
735,034469,
736,034476,
737,025588,
738,029820,
739,029790,
740,030810,
741,493338,
742,030901,
743,018016,
744,033401a,
745,476936,
746,025409,
747,030793,
748,480630,
749,467704,
750,493338,
751,468393,
752,494653 PL,
753,030456,
754,033978,
755,032689,
756,032692,
757,033020,
758,033013,
759,033014,
760,033015,
761,033016,
762,033017,
763,034337A,
764,034337B,
765,442355,
766,033527,
767,493211,
768,032685,
769,032687,
770,032693,
771,447134,
772,034493,
773,034548,
774,034491,
775,034554,
776,034567,
777,034568,
778,449611,
779,449647,
780,010029,
781,460783,
782,034565,
783,447286,
784,480691,
785,034573,
786,479172,
787,034503,
788,034501,
789,034586,
790,034593,
791,025603,
792,034505,
793,034625,
794,454278,
795,034621,
796,034507,
797,034614,
798,034618,
799,034620,
800,034628,
801,027432,
802,034601,
803,034541,
804,032015,
805,032010,
806,032011,
807,034619,
808,034627,
809,034542,
810,028086,
811,034605,
812,034606,
813,034607,
814,034608,
815,034624,
816,034609,
817,034611,
818,034612,
819,034613,
820,034509,
821,034510,
822,034616,
823,034615,
824,034626,
825,034629,
826,034514,
827,034515,
828,450790,
829,460679,
830,034644,
831,034645,
832,034642,
833,034646,
834,034543,
835,034643,
