,Código,Nome,Procedência,Qtd.,Un.,Custo,nome_peca
57,120203,"BOBINA CHAPA LQ 6.30 X 1,20 1008/1010",Nacional - 0,16.51,KG,94.66,031514 - REFORÇO DA LONGARINA M19 - CBHM 6000 CAFEEIRA
58,120203,"BOBINA CHAPA LQ 6.30 X 1,20 1008/1010",Nacional - 0,1.45,KG,8.29,450868 - SUP COL CENTRAL - PLATAF (6000) CBHM
59,120203,"BOBINA CHAPA LQ 6.30 X 1,20 1008/1010",Nacional - 0,20.35,KG,116.66,031556 - REFORCO CENTRAL - PLATAF (6000) CBHM CAFEEIRA
60,120136,"BOBINA CHAPA LQ 2.25 X 1,20 A36/CIVIL300",Nacional - 0,13.23,KG,76.27,032665 - ASSOALHO [GAIOLA KIT INCENDIO - FTC]
61,120278,"BOBINA CHAPA LQ 3.75 X 1,20 A36/CIVIL300",Nacional - 0,7.84,KG,45.29,460680 - TRANSV CENTRAL - PLAT (3500/5000) CBHM
62,120650,"CHAPA GQ 5/16(7,94) 1010",Nacional - 0,8.27,KG,47.34,030501 - REFORÇO LONGARINA
63,120650,"CHAPA GQ 5/16(7,94) 1010",Nacional - 0,3.19,KG,18.26,409753 - SUPORTE TRASEIRO CBHM
64,120650,"CHAPA GQ 5/16(7,94) 1010",Nacional - 0,0.78,KG,4.46,025846 - REFORCO LAT DA PLACA - 5 RODA - CBH/CBHM 02 EIXOS
65,120650,"CHAPA GQ 5/16(7,94) 1010",Nacional - 0,0.07,KG,0.4,453341 - SUP VARAO FRENAG - FREIO U6P
66,120305,"BOBINA CHAPA LQ 4.75 X 1,20 A36/CIVIL300",Nacional - 0,2.6,KG,7.33,032353 - COMPLEMENTO DO SUPORTE FRONTAL [CHASSI COMPLETO - CBH]
67,120305,"BOBINA CHAPA LQ 4.75 X 1,20 A36/CIVIL300",Nacional - 0,0.17,KG,0.47,033889 - REFORÇO INTERIOR [CONJ SUP FRONTAL - CBH]
68,120305,"BOBINA CHAPA LQ 4.75 X 1,20 A36/CIVIL300",Nacional - 0,4.29,KG,12.1,030645 - REFORÇO TRANSV DIANTEIRA - PLATAFORMA CBHM M17
69,120305,"BOBINA CHAPA LQ 4.75 X 1,20 A36/CIVIL300",Nacional - 0,0.37,KG,1.04,030376 - FIXADOR CHAPA LAT SUP - TAMPA LATERAL - CBH (M17)
70,120305,"BOBINA CHAPA LQ 4.75 X 1,20 A36/CIVIL300",Nacional - 0,0.95,KG,2.68,030316 - REFORÇO DO SUPORTE DIANT M17 CHASSI CBHM/CBH
71,120202,CHAPA 1/4 (6.30 x 2440 x 6000) A36-CIVIL300,Nacional - 0,0.26,KG,2.14,033929 - CHAPA DE REFORÇO [GAIOLA - FT10500]
72,120305,"BOBINA CHAPA LQ 4.75 X 1,20 A36/CIVIL300",Nacional - 0,0.09,KG,0.25,412661 - ARRUELA P/RET - EIXO (C) F6
73,120305,"BOBINA CHAPA LQ 4.75 X 1,20 A36/CIVIL300",Nacional - 0,1.51,KG,4.26,459690 - FECHAM DIANTEIRO ICAM (M98) FA/CBHM
74,120134,"BOBINA CHAPA LQ 2.00 X 1,20 A36/CIVIL300",Nacional - 0,17.86,KG,99.5,031224 - PARTE SUP. CHAPA TAMPA TRAS. (ABERT. LATERAL) - CBH M18
75,120549,BOBINA CHAPA LQ 2.65 X 1200 A36/CIVIL300,Nacional - 0,3.52,KG,20.19,"013225 - COMPL CHAP TAMPA TRAS 1,10m (5000) CBHM"
76,120134,"BOBINA CHAPA LQ 2.00 X 1,20 A36/CIVIL300",Nacional - 0,35.01,KG,195.08,031223 - PARTE INF. CHAPA TAMPA TRAS. (ABERT. LATERAL) - CBH M18
